epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,297.075,0.78307,2.66908,0.98942,0.68508,0.55592,0.52414,0.43368,0.69749,1.05482,0.92487,0.00332771,0.00332771,0.00332771
2,584.399,0.76023,1.18105,0.95375,0.67591,0.57886,0.55958,0.44657,0.74273,1.00626,0.93138,0.0065951,0.0065951,0.0065951
3,873.724,0.83125,1.17459,0.9874,0.71801,0.52351,0.53891,0.42422,0.80407,1.25136,0.99518,0.00979649,0.00979649,0.00979649
4,1156.15,0.87272,1.18183,1.01525,0.50082,0.65809,0.58327,0.45997,0.78073,0.99857,0.97813,0.009703,0.009703,0.009703
5,1436,0.83882,1.08878,1.00739,0.64726,0.61558,0.59306,0.47652,0.73677,0.91726,0.97098,0.009604,0.009604,0.009604
6,1723.03,0.81224,1.0125,0.99539,0.65049,0.59803,0.57647,0.45651,0.75365,0.93516,0.96881,0.009505,0.009505,0.009505
7,2007.35,0.79476,0.97953,0.98725,0.58078,0.69359,0.5922,0.4807,0.7178,1.00378,0.95809,0.009406,0.009406,0.009406
8,2289.61,0.76653,0.93487,0.97524,0.69296,0.65367,0.64179,0.5251,0.69136,0.77932,0.95102,0.009307,0.009307,0.009307
9,2569.27,0.7539,0.90675,0.96966,0.61511,0.67943,0.6551,0.53522,0.69939,0.78927,0.93553,0.009208,0.009208,0.009208
10,2856.11,0.74282,0.88895,0.9639,0.74181,0.69438,0.66138,0.54132,0.68657,0.74424,0.92491,0.009109,0.009109,0.009109
11,3140.15,0.73066,0.85806,0.95977,0.73489,0.68796,0.67004,0.54754,0.67256,0.75721,0.9364,0.00901,0.00901,0.00901
12,3426.59,0.71858,0.84533,0.95387,0.73043,0.68281,0.6744,0.55971,0.66541,0.73093,0.9295,0.008911,0.008911,0.008911
13,3709.54,0.7119,0.8299,0.95124,0.71063,0.70487,0.69205,0.57008,0.64252,0.69643,0.91716,0.008812,0.008812,0.008812
14,3994.69,0.70507,0.80221,0.95147,0.72141,0.71653,0.68815,0.56677,0.6434,0.66918,0.9142,0.008713,0.008713,0.008713
15,4275.01,0.70752,0.80412,0.95602,0.77441,0.7064,0.69785,0.58081,0.63291,0.66992,0.91575,0.008614,0.008614,0.008614
16,4555.36,0.69179,0.79265,0.94307,0.75224,0.70582,0.71384,0.59498,0.63109,0.67226,0.91303,0.008515,0.008515,0.008515
17,4833.25,0.69189,0.78068,0.94489,0.67978,0.74776,0.70943,0.59008,0.62353,0.65499,0.91759,0.008416,0.008416,0.008416
18,5112.91,0.68056,0.7557,0.94046,0.76252,0.73616,0.72856,0.60458,0.61962,0.62396,0.90438,0.008317,0.008317,0.008317
19,5391.98,0.68368,0.74079,0.93956,0.7349,0.73608,0.71664,0.5999,0.61846,0.62372,0.91103,0.008218,0.008218,0.008218
20,5671.19,0.67226,0.73715,0.93124,0.73515,0.7621,0.75782,0.62626,0.60402,0.59958,0.90178,0.008119,0.008119,0.008119
21,5953.08,0.66987,0.73377,0.92962,0.69187,0.78069,0.7358,0.6131,0.61449,0.61794,0.89877,0.00802,0.00802,0.00802
22,714.113,0.65271,0.69943,0.9254,0.68279,0.80555,0.75698,0.63144,0.59265,0.57531,0.9002,0.007921,0.007921,0.007921
23,782.303,0.65081,0.69488,0.92536,0.76608,0.70133,0.76315,0.64365,0.58675,0.57387,0.89435,0.007822,0.007822,0.007822
24,847.343,0.64614,0.67278,0.92227,0.80593,0.70489,0.74001,0.62086,0.60549,0.57369,0.90324,0.007723,0.007723,0.007723
25,912.572,0.64101,0.66992,0.92265,0.79744,0.73704,0.77917,0.64144,0.59815,0.57323,0.8928,0.007624,0.007624,0.007624
26,977.587,0.64419,0.66809,0.925,0.74602,0.77588,0.80353,0.65755,0.58629,0.54477,0.88641,0.007525,0.007525,0.007525
27,1041.85,0.63871,0.66032,0.91568,0.74742,0.81574,0.81563,0.67003,0.58637,0.54647,0.89315,0.007426,0.007426,0.007426
28,1107,0.63603,0.65068,0.9179,0.7692,0.79081,0.82194,0.67517,0.57774,0.53632,0.88822,0.007327,0.007327,0.007327
29,1172.45,0.6303,0.63714,0.91508,0.76508,0.78064,0.83101,0.6759,0.57563,0.52326,0.8958,0.007228,0.007228,0.007228
30,1237.28,0.62337,0.61872,0.91417,0.75087,0.85963,0.85401,0.6954,0.57631,0.51417,0.89058,0.007129,0.007129,0.007129
31,1302.27,0.62339,0.62018,0.91174,0.76615,0.82102,0.83456,0.70437,0.56666,0.51136,0.88196,0.00703,0.00703,0.00703
32,1367.52,0.62406,0.61451,0.91032,0.81886,0.74507,0.77889,0.66525,0.56685,0.50218,0.88103,0.006931,0.006931,0.006931
33,1432.32,0.61536,0.60395,0.90873,0.7732,0.82536,0.84408,0.69425,0.57024,0.49138,0.8805,0.006832,0.006832,0.006832
34,1497.06,0.61361,0.5913,0.90622,0.75577,0.85608,0.85221,0.70041,0.55064,0.49431,0.87874,0.006733,0.006733,0.006733
